,beta,se,ci_low,ci_high,p,beta_std(z-DV)
Intercept,0.7188,0.1417,0.4411,0.9965,0.0,-5.6597
C(gov_status)[T.Regierung],0.0367,0.0061,0.0247,0.0486,0.0,0.0622
C(sex_cat)[T.männlich],0.3351,0.1366,0.0674,0.6028,0.0141,0.5688
C(sex_cat)[T.unbekannt],0.2351,0.1499,-0.0587,0.529,0.1168,0.3991
C(sex_cat)[T.weiblich],0.2846,0.1367,0.0168,0.5525,0.0373,0.4831
is_afd,0.1293,0.0195,0.091,0.1675,0.0,0.2194
log_n_tokens,0.4974,0.0026,0.4923,0.5025,0.0,0.8442
date_num,-0.0063,0.001,-0.0083,-0.0043,0.0,-0.0107
age_imp,0.0005,0.0005,-0.0004,0.0014,0.2938,0.0009
age_na,0.0258,0.0376,-0.0479,0.0996,0.4922,0.0439
academic,-0.0425,0.0334,-0.1079,0.0229,0.2023,-0.0722
edu_missing,-0.0433,0.033,-0.108,0.0213,0.1886,-0.0736
