Kontrast,diff,se,p_raw,p_holm
CDU−SPD,0.0928,0.0159,0.0,0.0
CDU−GRUENE,0.1104,0.0193,0.0,0.0
CDU−FDP,0.1154,0.0205,0.0,0.0
CDU−DIELINKE,0.1189,0.0225,0.0,0.0
CDU−AFD,-0.0596,0.021,0.0046,0.0325
SPD−GRUENE,0.0176,0.0187,0.3459,1.0
SPD−FDP,0.0226,0.0204,0.2687,1.0
SPD−DIELINKE,0.0261,0.0225,0.2463,1.0
SPD−AFD,-0.1524,0.0216,0.0,0.0
GRUENE−FDP,0.005,0.0228,0.8272,1.0
GRUENE−DIELINKE,0.0085,0.0246,0.7308,1.0
GRUENE−AFD,-0.17,0.024,0.0,0.0
FDP−DIELINKE,0.0035,0.0259,0.8931,1.0
FDP−AFD,-0.175,0.0246,0.0,0.0
DIELINKE−AFD,-0.1785,0.026,0.0,0.0
